2025-08-26 13:42:55 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000240FCA031A0>
2025-08-26 13:42:55 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:42:55 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000240FCA031A0>
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:42:55 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:42:55 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:42:55 | ERROR | avanqard | TypeError
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:42:55 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000240FCA031A0>
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:42:55 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:42:55 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:42:55 | ERROR | avanqard | TypeError
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:42:55 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000240FCA031A0>
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:42:55 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:42:55 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:42:55 | ERROR | avanqard | TypeError
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:42:55 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000240FCA031A0>
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:42:55 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:42:55 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:42:55 | ERROR | avanqard | TypeError
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:42:55 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000240FCA031A0>
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:42:55 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:42:55 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:42:55 | ERROR | avanqard | TypeError
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:42:55 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000240FCA031A0>
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:42:55 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:42:55 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:42:55 | ERROR | avanqard | TypeError
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:42:55 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000240FCA031A0>
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:42:55 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:42:55 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:42:55 | ERROR | avanqard | TypeError
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:42:55 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000240FCA031A0>
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:42:55 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:42:55 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:42:55 | ERROR | avanqard | TypeError
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:42:55 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000240FCA031A0>
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:42:55 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:42:55 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:42:55 | ERROR | avanqard | TypeError
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:42:55 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000240FCA031A0>
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:42:55 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:42:55 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:42:55 | ERROR | avanqard | TypeError
2025-08-26 13:42:55 | ERROR | avanqard | :
2025-08-26 13:42:55 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:43:00 | ERROR | avanqard | Exception in Tkinter callback
2025-08-26 13:43:00 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:00 | ERROR | avanqard |   File "C:\Program Files\Python313\Lib\tkinter\__init__.py", line 2068, in __call__
2025-08-26 13:43:00 | ERROR | avanqard |     return self.func(*args)
2025-08-26 13:43:00 | ERROR | avanqard |            ~~~~~~~~~^^^^^^^
2025-08-26 13:43:00 | ERROR | avanqard |   File "C:\Users\User\AppData\Roaming\Python\Python313\site-packages\customtkinter\windows\widgets\ctk_button.py", line 554, in _clicked
2025-08-26 13:43:00 | ERROR | avanqard |     self._command()
2025-08-26 13:43:00 | ERROR | avanqard |     ~~~~~~~~~~~~~^^
2025-08-26 13:43:00 | ERROR | avanqard |   File "d:\APP\raport.py", line 563, in _export_pdf
2025-08-26 13:43:00 | ERROR | avanqard |     s, e = getattr(self, "_get_range", getattr(self, "_get_date_range"))()
2025-08-26 13:43:00 | ERROR | avanqard |                                        ~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
2025-08-26 13:43:00 | ERROR | avanqard |   File "C:\Program Files\Python313\Lib\tkinter\__init__.py", line 2546, in __getattr__
2025-08-26 13:43:00 | ERROR | avanqard |     return getattr(self.tk, attr)
2025-08-26 13:43:00 | ERROR | avanqard | AttributeError: '_tkinter.tkapp' object has no attribute '_get_date_range'
2025-08-26 13:43:08 | ERROR | avanqard | Exception in Tkinter callback
2025-08-26 13:43:08 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:08 | ERROR | avanqard |   File "C:\Program Files\Python313\Lib\tkinter\__init__.py", line 2068, in __call__
2025-08-26 13:43:08 | ERROR | avanqard |     return self.func(*args)
2025-08-26 13:43:08 | ERROR | avanqard |            ~~~~~~~~~^^^^^^^
2025-08-26 13:43:08 | ERROR | avanqard |   File "C:\Users\User\AppData\Roaming\Python\Python313\site-packages\customtkinter\windows\widgets\ctk_button.py", line 554, in _clicked
2025-08-26 13:43:08 | ERROR | avanqard |     self._command()
2025-08-26 13:43:08 | ERROR | avanqard |     ~~~~~~~~~~~~~^^
2025-08-26 13:43:08 | ERROR | avanqard |   File "d:\APP\raport.py", line 563, in _export_pdf
2025-08-26 13:43:08 | ERROR | avanqard |     s, e = getattr(self, "_get_range", getattr(self, "_get_date_range"))()
2025-08-26 13:43:08 | ERROR | avanqard |                                        ~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
2025-08-26 13:43:08 | ERROR | avanqard |   File "C:\Program Files\Python313\Lib\tkinter\__init__.py", line 2546, in __getattr__
2025-08-26 13:43:08 | ERROR | avanqard |     return getattr(self.tk, attr)
2025-08-26 13:43:08 | ERROR | avanqard | AttributeError: '_tkinter.tkapp' object has no attribute '_get_date_range'
2025-08-26 13:43:14 | ERROR | avanqard | Exception in Tkinter callback
2025-08-26 13:43:14 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:14 | ERROR | avanqard |   File "C:\Program Files\Python313\Lib\tkinter\__init__.py", line 2068, in __call__
2025-08-26 13:43:14 | ERROR | avanqard |     return self.func(*args)
2025-08-26 13:43:14 | ERROR | avanqard |            ~~~~~~~~~^^^^^^^
2025-08-26 13:43:14 | ERROR | avanqard |   File "C:\Users\User\AppData\Roaming\Python\Python313\site-packages\customtkinter\windows\widgets\ctk_button.py", line 554, in _clicked
2025-08-26 13:43:14 | ERROR | avanqard |     self._command()
2025-08-26 13:43:14 | ERROR | avanqard |     ~~~~~~~~~~~~~^^
2025-08-26 13:43:14 | ERROR | avanqard |   File "d:\APP\raport.py", line 563, in _export_pdf
2025-08-26 13:43:14 | ERROR | avanqard |     s, e = getattr(self, "_get_range", getattr(self, "_get_date_range"))()
2025-08-26 13:43:14 | ERROR | avanqard |                                        ~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
2025-08-26 13:43:14 | ERROR | avanqard |   File "C:\Program Files\Python313\Lib\tkinter\__init__.py", line 2546, in __getattr__
2025-08-26 13:43:14 | ERROR | avanqard |     return getattr(self.tk, attr)
2025-08-26 13:43:14 | ERROR | avanqard | AttributeError: '_tkinter.tkapp' object has no attribute '_get_date_range'
2025-08-26 13:43:33 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000209EF2A31A0>
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:33 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:43:33 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:43:33 | ERROR | avanqard | TypeError
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:43:33 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000209EF2A31A0>
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:33 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:43:33 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:43:33 | ERROR | avanqard | TypeError
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:43:33 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000209EF2A31A0>
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:33 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:43:33 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:43:33 | ERROR | avanqard | TypeError
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:43:33 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000209EF2A31A0>
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:33 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:43:33 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:43:33 | ERROR | avanqard | TypeError
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:43:33 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000209EF2A31A0>
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:33 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:43:33 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:43:33 | ERROR | avanqard | TypeError
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:43:33 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000209EF2A31A0>
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:33 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:43:33 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:43:33 | ERROR | avanqard | TypeError
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:43:33 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000209EF2A31A0>
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:33 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:43:33 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:43:33 | ERROR | avanqard | TypeError
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:43:33 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000209EF2A31A0>
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:33 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:43:33 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:43:33 | ERROR | avanqard | TypeError
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:43:33 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000209EF2A31A0>
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:33 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:43:33 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:43:33 | ERROR | avanqard | TypeError
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:43:33 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000209EF2A31A0>
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:33 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:43:33 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:43:33 | ERROR | avanqard | TypeError
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:43:33 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000209EF2A31A0>
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:33 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:43:33 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:43:33 | ERROR | avanqard | TypeError
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:43:33 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000209EF2A31A0>
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:33 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:43:33 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:43:33 | ERROR | avanqard | TypeError
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:43:33 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000209EF2A31A0>
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:33 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:43:33 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:43:33 | ERROR | avanqard | TypeError
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 13:43:33 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x00000209EF2A31A0>
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 13:43:33 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 13:43:33 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 13:43:33 | ERROR | avanqard | TypeError
2025-08-26 13:43:33 | ERROR | avanqard | :
2025-08-26 13:43:33 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 14:13:40 | ERROR | avanqard | Rapor üretilemedi: '_tkinter.tkapp' object has no attribute '_get_range'
2025-08-26 14:20:06 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x0000025DFDEAEF20>
2025-08-26 14:20:06 | ERROR | avanqard | :
2025-08-26 14:20:06 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 14:20:06 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 14:20:06 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 14:20:06 | ERROR | avanqard | TypeError
2025-08-26 14:20:06 | ERROR | avanqard | :
2025-08-26 14:20:06 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 14:20:06 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x0000025DFDEAEF20>
2025-08-26 14:20:06 | ERROR | avanqard | :
2025-08-26 14:20:06 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 14:20:06 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 14:20:06 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 14:20:06 | ERROR | avanqard | TypeError
2025-08-26 14:20:06 | ERROR | avanqard | :
2025-08-26 14:20:06 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 14:20:06 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x0000025DFDEAEF20>
2025-08-26 14:20:06 | ERROR | avanqard | :
2025-08-26 14:20:06 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 14:20:06 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 14:20:06 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 14:20:06 | ERROR | avanqard | TypeError
2025-08-26 14:20:06 | ERROR | avanqard | :
2025-08-26 14:20:06 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 14:20:06 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x0000025DFDEAEF20>
2025-08-26 14:20:06 | ERROR | avanqard | :
2025-08-26 14:20:06 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 14:20:06 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 14:20:06 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 14:20:06 | ERROR | avanqard | TypeError
2025-08-26 14:20:06 | ERROR | avanqard | :
2025-08-26 14:20:06 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 14:20:06 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x0000025DFDEAEF20>
2025-08-26 14:20:06 | ERROR | avanqard | :
2025-08-26 14:20:06 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 14:20:06 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 14:20:06 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 14:20:06 | ERROR | avanqard | TypeError
2025-08-26 14:20:06 | ERROR | avanqard | :
2025-08-26 14:20:06 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 14:20:06 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x0000025DFDEAEF20>
2025-08-26 14:20:06 | ERROR | avanqard | :
2025-08-26 14:20:06 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 14:20:06 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 14:20:06 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 14:20:06 | ERROR | avanqard | TypeError
2025-08-26 14:20:06 | ERROR | avanqard | :
2025-08-26 14:20:06 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 14:20:06 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x0000025DFDEAEF20>
2025-08-26 14:20:06 | ERROR | avanqard | :
2025-08-26 14:20:06 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 14:20:06 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 14:20:06 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 14:20:06 | ERROR | avanqard | TypeError
2025-08-26 14:20:06 | ERROR | avanqard | :
2025-08-26 14:20:06 | ERROR | avanqard | 'in <string>' requires string as left operand, not NoneType
2025-08-26 14:20:06 | ERROR | avanqard | Exception ignored on calling ctypes callback function <function bring_to_front.<locals>.enum_proc at 0x0000025DFDEAEF20>
2025-08-26 14:20:06 | ERROR | avanqard | :
2025-08-26 14:20:06 | ERROR | avanqard | Traceback (most recent call last):
2025-08-26 14:20:06 | ERROR | avanqard |   File "d:\APP\single_instance.py", line 58, in enum_proc
2025-08-26 14:20:06 | ERROR | avanqard | if title_substr.lower() in title.lower():
2025-08-26 14:20:06 | ERROR | avanqard | TypeError
2025-08-26 14:20:06 | ERROR | avanqard | :
