Date,Channel,Campaign,Spend (TL),Impressions,Clicks,Acquired_Customers,Revenue (TL),Product_Cost (TL),ROI (%),CAC (TL)
2024-09-30,Facebook,Summer Sale,3693.12,72041,991,32,11875.12,2637.08,150.14,115.41
2024-09-07,Email,Summer Sale,88.83,97185,1665,37,19932.63,2886.99,19089.06,2.4
2024-06-18,Google Ads,Black Friday,2719.19,71793,2018,76,17995.9,2811.75,458.41,35.78
2025-04-07,Instagram,Summer Sale,3979.15,81587,3272,82,5644.2,2005.9,-8.57,48.53
2024-06-24,Google Ads,Summer Sale,1367.83,5909,4200,94,11582.03,4902.81,388.31,14.55
2025-02-27,Facebook,Brand Awareness,3036.29,93881,1521,13,2395.82,205.9,-27.88,233.56
2024-09-08,Google Ads,New Product,3361.06,15866,1108,54,9290.71,1094.87,143.85,62.24
2025-04-25,Google Ads,New Product,3292.37,43789,1056,3,10509.09,1437.58,175.53,1097.46
2024-11-05,Organic,Holiday Discount,2256.96,91404,3240,85,6374.04,4408.86,-12.93,26.55
2025-03-10,Facebook,New Product,1765.56,95063,1270,42,9735.32,4595.97,191.09,42.04
2025-04-10,Twitter,Holiday Discount,4187.82,66997,4711,78,18406.78,4233.6,238.44,53.69
2024-06-04,Affiliate,Brand Awareness,3804.31,29460,4916,40,10052.74,2096.42,109.14,95.11
2025-05-28,Instagram,New Product,1640.21,49500,1847,74,16636.71,4574.83,635.39,22.16
2025-04-06,Google Ads,Brand Awareness,559.95,69769,2921,66,6416.07,510.57,954.65,8.48
2025-02-13,Facebook,New Product,405.45,13128,563,60,19430.94,3269.12,3886.14,6.76
2024-09-12,Organic,New Product,516.67,6202,1667,11,1959.92,4687.37,-627.89,46.97
2024-07-24,Facebook,Brand Awareness,2935.2,97794,4567,1,11753.17,3779.4,171.66,2935.2
2024-11-20,Google Ads,Summer Sale,305.73,66327,4662,26,15818.77,1403.78,4614.94,11.76
2024-10-24,Instagram,Summer Sale,1717.79,48965,3807,42,16299.42,3593.18,639.69,40.9
2025-04-16,Organic,Summer Sale,3778.34,32238,2082,62,4045.79,1487.92,-32.3,60.94
2024-12-19,Organic,Summer Sale,1507.02,80258,3260,61,8092.75,575.68,398.8,24.71
2024-11-09,Google Ads,New Product,3828.37,50240,754,77,12521.5,3591.76,133.25,49.72
2024-09-02,Email,Black Friday,3740.06,84583,1723,92,6386.07,912.55,46.35,40.65
2024-06-13,Google Ads,Brand Awareness,1266.84,69837,3749,85,13200.09,573.1,896.73,14.9
2024-07-30,Google Ads,Black Friday,3657.67,55289,2141,62,7637.74,2767.77,33.14,58.99
2024-09-01,Twitter,Black Friday,3751.49,33544,2898,74,7082.24,3110.71,5.87,50.7
2024-10-27,Google Ads,Holiday Discount,2017.4,61064,4364,12,2250.56,274.26,-2.04,168.12
2024-09-20,Facebook,Summer Sale,1091.58,98119,4713,27,881.13,42.26,-23.15,40.43
2024-11-21,Google Ads,New Product,2630.29,94049,1827,67,16721.95,4412.71,367.98,39.26
2024-08-07,Twitter,Summer Sale,4610.92,82176,4403,28,9841.94,593.96,100.57,164.68
2024-10-29,Organic,Summer Sale,3216.1,23413,942,66,11301.18,2927.81,160.36,48.73
2024-11-03,Email,Black Friday,905.97,83341,1021,28,7507.2,4768.66,202.28,32.36
2024-10-05,Organic,Holiday Discount,3429.65,86669,152,95,2821.17,2569.31,-92.66,36.1
2024-06-26,Google Ads,Summer Sale,2164.65,49899,1157,21,9046.48,716.19,284.83,103.08
2025-04-07,Instagram,Brand Awareness,2978.07,87891,3296,7,4656.25,1979.55,-10.12,425.44
2024-08-23,Facebook,Brand Awareness,3683.62,89765,3762,95,16769.89,3127.73,270.35,38.77
2024-10-25,Google Ads,Summer Sale,2598.99,70969,3467,14,19737.09,3818.94,512.47,185.64
2024-09-20,Instagram,Black Friday,4079.22,34033,4201,39,17793.01,3042.55,261.6,104.6
2024-11-23,Twitter,Black Friday,3624.67,2378,3709,73,10612.66,190.89,187.52,49.65
2025-04-19,Google Ads,New Product,3094.61,7503,4976,87,12599.82,732.65,283.48,35.57
2024-12-24,Facebook,Holiday Discount,796.42,43774,969,62,18967.64,1871.57,2046.61,12.85
2025-05-15,Google Ads,Black Friday,4187.95,60608,4602,12,10819.77,3534.45,73.96,349.0
2024-08-02,Google Ads,New Product,4682.73,34617,4277,93,12807.92,2929.95,110.94,50.35
2025-03-26,Twitter,Brand Awareness,727.98,5814,4638,38,12621.67,242.58,1600.47,19.16
2024-06-19,Instagram,Brand Awareness,2466.79,59335,2207,58,14191.61,3988.49,313.62,42.53
2024-07-07,Instagram,Brand Awareness,1331.5,24763,631,56,12841.67,3033.52,636.62,23.78
2025-05-21,Organic,Summer Sale,3784.89,11000,845,39,13447.04,4438.01,138.03,97.05
2024-06-20,Google Ads,Holiday Discount,3622.07,81824,3247,86,14545.3,2099.91,243.6,42.12
2025-01-21,Instagram,New Product,747.38,4274,1933,4,16201.07,2461.2,1738.4,186.84
2025-01-14,Facebook,Holiday Discount,4391.28,50868,3417,48,8120.79,2039.64,38.48,91.48
2025-03-28,Instagram,Summer Sale,945.82,55232,859,7,14942.1,3617.82,1097.3,135.12
2025-01-11,Affiliate,New Product,3996.43,15227,2983,60,2094.05,3765.61,-141.83,66.61
2025-03-10,Organic,New Product,2312.05,18279,3318,40,17536.14,3621.75,501.82,57.8
2024-12-18,Facebook,Black Friday,1674.95,75904,4918,8,5871.88,1472.16,162.68,209.37
2024-08-14,Organic,Holiday Discount,833.28,65940,3034,58,8128.86,3187.44,493.01,14.37
2024-09-11,Google Ads,Holiday Discount,879.69,43736,622,57,16091.85,1705.87,1535.35,15.43
2024-10-11,Google Ads,Black Friday,3326.36,97542,1256,35,12776.04,4174.32,158.59,95.04
2025-04-19,Google Ads,Brand Awareness,2774.63,93916,4954,73,6241.7,294.48,114.34,38.01
2025-05-02,Facebook,Summer Sale,654.32,94504,3130,13,4585.44,207.85,569.03,50.33
2025-01-15,Instagram,Holiday Discount,607.85,10651,2510,39,19158.52,526.51,2965.23,15.59
2024-11-10,Email,Black Friday,407.94,80439,1791,84,1846.75,1027.77,100.76,4.86
2024-07-06,Twitter,New Product,3731.65,85463,4055,21,186.27,207.42,-100.57,177.7
2024-09-04,Instagram,Black Friday,3573.82,8771,4975,47,13491.4,376.65,266.97,76.04
2025-04-27,Instagram,Brand Awareness,339.23,79996,2663,83,12328.04,1544.16,3078.93,4.09
2025-04-12,Google Ads,Summer Sale,2823.34,71173,1765,2,14778.52,516.96,405.13,1411.67
2025-03-29,Google Ads,Brand Awareness,469.15,41834,1619,44,14659.51,4014.33,2169.04,10.66
2024-10-26,Instagram,New Product,4523.54,4553,726,30,17278.86,288.26,275.6,150.78
2024-08-10,Facebook,New Product,4540.23,35117,1883,87,18449.96,4541.49,206.34,52.19
2025-02-20,Organic,New Product,3506.25,90116,2563,55,15522.99,4356.78,218.47,63.75
2024-12-09,Google Ads,New Product,4634.64,78058,850,40,4722.63,1057.75,-20.92,115.87
2024-06-04,Google Ads,Black Friday,4066.69,63137,1191,77,9323.57,376.2,120.02,52.81
2024-10-28,Facebook,New Product,4151.27,35890,3102,97,12870.13,545.56,196.89,42.8
2025-04-25,Google Ads,New Product,2870.05,94740,2081,96,10833.37,2804.26,179.76,29.9
2024-10-15,Google Ads,Black Friday,1564.99,80428,1558,92,3262.06,3012.56,-84.06,17.01
2025-02-18,Organic,New Product,1128.11,9689,1160,24,11826.53,1591.6,807.26,47.0
2025-01-19,Google Ads,Brand Awareness,1669.64,29063,4379,42,17741.92,1498.23,872.89,39.75
2024-09-15,Email,Brand Awareness,3161.05,58198,962,28,8428.49,2666.88,82.27,112.89
2025-05-25,Facebook,Holiday Discount,904.65,80598,1105,94,13411.76,1542.03,1212.08,9.62
2024-10-24,Google Ads,Brand Awareness,1330.27,2363,4239,93,12357.09,4672.91,477.64,14.3
2024-09-17,Facebook,Summer Sale,2366.9,17691,1800,98,7603.16,1925.51,139.88,24.15
2024-06-05,Organic,Summer Sale,1203.6,3751,3221,51,11348.9,1114.67,750.3,23.6
2024-08-20,Facebook,Summer Sale,2963.79,8782,4203,22,4283.22,746.9,19.32,134.72
2024-11-04,Organic,Black Friday,4619.72,84184,3062,89,10967.53,3165.91,68.88,51.91
2025-05-15,Google Ads,Brand Awareness,3753.04,13540,3478,78,15996.71,1646.77,282.36,48.12
2024-06-18,Organic,Summer Sale,3348.81,46991,3612,74,15203.06,960.2,325.31,45.25
2025-04-18,Google Ads,Holiday Discount,2934.47,71875,406,74,7223.3,1393.56,98.66,39.65
2024-12-02,Email,Black Friday,2465.34,93556,4441,8,2330.5,1553.25,-68.47,308.17
2025-03-28,Instagram,Holiday Discount,973.49,28609,4670,14,16018.86,3136.65,1223.3,69.54
2024-06-12,Twitter,Brand Awareness,4478.82,57655,1667,45,5374.28,889.91,0.12,99.53
2024-10-11,Facebook,New Product,1280.25,72384,1673,38,1155.57,3669.36,-296.35,33.69
2024-10-01,Google Ads,Holiday Discount,501.98,64177,1715,32,8959.34,1538.31,1378.35,15.69
2025-04-08,Google Ads,New Product,3762.58,59396,3249,62,14815.46,2451.78,228.6,60.69
2025-02-23,Organic,Black Friday,919.3,17877,4546,96,16189.02,3281.1,1304.1,9.58
2024-10-20,Instagram,Holiday Discount,1890.89,19405,1645,67,19645.82,2727.23,794.74,28.22
2024-10-11,Organic,Holiday Discount,190.01,49629,2039,84,3869.21,3317.92,190.14,2.26
2024-10-05,Google Ads,Black Friday,728.49,47233,2836,61,5946.52,1626.53,493.01,11.94
2025-01-07,Facebook,Black Friday,907.36,22471,578,13,12228.86,4817.98,716.75,69.8
2024-12-10,Google Ads,Summer Sale,319.33,4302,2654,87,16245.74,2305.77,4265.38,3.67
2025-05-01,Affiliate,Brand Awareness,3300.45,80973,3245,83,4758.09,1623.23,-5.02,39.76
2025-04-24,Email,Holiday Discount,4193.19,81048,2457,80,8257.3,1496.04,61.24,52.41
2025-05-17,Twitter,Holiday Discount,1897.91,98972,113,99,8227.17,232.62,321.23,19.17
2024-12-21,Facebook,Black Friday,4379.15,24511,4010,47,15481.44,3430.33,175.19,93.17
2024-07-07,Email,Black Friday,1106.07,6022,2862,54,4894.55,1327.33,222.51,20.48
2024-11-24,Email,Brand Awareness,1660.68,44239,2871,71,19378.3,4795.47,778.12,23.39
2024-09-29,Facebook,Black Friday,796.15,72691,4077,52,10258.23,1068.01,1054.33,15.31
2025-03-05,Organic,New Product,3121.77,98016,151,72,5713.13,2656.87,-2.1,43.36
2024-08-19,Twitter,New Product,2128.35,60269,3398,25,5757.25,3682.64,-2.52,85.13
2025-03-25,Twitter,New Product,3085.75,91868,3348,23,464.17,4353.17,-226.03,134.16
2024-12-11,Organic,New Product,3820.29,59398,3144,74,13879.37,799.18,242.39,51.63
2025-04-15,Facebook,Brand Awareness,2751.23,62895,2941,30,15541.37,4927.3,285.79,91.71
2025-03-29,Facebook,Holiday Discount,3156.77,70890,3185,97,745.31,4535.61,-220.07,32.54
2025-01-16,Affiliate,New Product,4679.49,98383,1230,11,11760.1,4814.99,48.42,425.41
2024-08-19,Google Ads,Black Friday,1530.37,36284,2936,35,15655.29,4266.3,644.2,43.72
2025-05-02,Organic,New Product,1827.86,49640,2778,27,7587.18,4390.79,74.87,67.7
2025-02-11,Organic,Brand Awareness,3602.63,76692,2742,67,8711.56,3002.17,58.48,53.77
2025-04-16,Email,Black Friday,3075.96,23453,448,47,7296.34,4229.64,-0.3,65.45
2024-06-24,Affiliate,New Product,933.74,99225,454,50,6381.45,2679.39,296.48,18.67
2024-08-17,Facebook,Holiday Discount,1911.93,90294,2923,8,9873.72,2700.32,275.19,238.99
2024-07-03,Facebook,Black Friday,2365.8,75374,3318,55,3405.4,2821.65,-75.33,43.01
2025-01-22,Google Ads,Black Friday,2125.98,38976,2744,77,8869.68,4981.66,82.88,27.61
2024-06-16,Facebook,Holiday Discount,932.46,14725,2132,42,18842.32,539.89,1862.81,22.2
2024-10-11,Facebook,Black Friday,4625.93,75873,2517,67,645.3,4031.94,-173.21,69.04
2024-11-21,Facebook,New Product,3823.48,77237,4522,20,3378.39,1381.1,-47.76,191.17
2024-10-17,Organic,Black Friday,2432.71,96347,4365,45,15576.28,1818.91,465.52,54.06
2024-08-20,Twitter,New Product,3416.3,44043,1971,35,2727.94,421.06,-32.47,97.61
2025-01-29,Google Ads,Holiday Discount,4491.55,95852,4009,77,5498.49,1770.84,-17.01,58.33
2025-02-03,Facebook,Summer Sale,724.06,78080,1590,20,9151.29,4954.0,479.69,36.2
2024-10-09,Twitter,Holiday Discount,1289.35,65990,2439,24,18868.93,1997.4,1208.53,53.72
2024-09-13,Google Ads,New Product,2736.37,88050,4898,57,3751.67,3355.05,-85.51,48.01
2024-06-05,Google Ads,Brand Awareness,4005.1,82863,2513,55,18469.38,621.15,345.64,72.82
2024-11-13,Google Ads,Holiday Discount,229.46,47809,3418,9,14398.64,4614.04,4164.19,25.5
2025-01-13,Instagram,Brand Awareness,4920.89,17705,3035,94,13455.78,4142.17,89.27,52.35
2024-07-16,Google Ads,Brand Awareness,2301.79,64131,729,89,14498.5,1943.75,445.43,25.86
2024-12-16,Affiliate,New Product,1828.19,77015,797,16,721.81,1755.35,-156.53,114.26
2024-10-17,Facebook,New Product,1498.99,63456,2903,55,2068.12,2172.69,-106.98,27.25
2024-07-27,Instagram,Summer Sale,913.07,77859,1371,72,6763.35,2018.27,419.68,12.68
2024-10-08,Google Ads,Black Friday,3968.29,79473,3798,58,1571.95,1305.09,-93.28,68.42
2024-12-09,Instagram,Holiday Discount,4779.3,24089,4200,64,19753.04,4954.41,209.64,74.68
2024-12-29,Email,New Product,2097.54,68238,4839,92,11650.2,4056.52,262.03,22.8
2024-07-19,Organic,Holiday Discount,4764.48,76940,583,76,9798.14,1354.26,77.23,62.69
2024-12-21,Organic,Brand Awareness,4127.8,74916,1868,88,15731.68,4908.99,162.19,46.91
2025-02-23,Instagram,Black Friday,2431.2,88526,4250,49,19541.49,97.34,699.78,49.62
2024-10-09,Twitter,Summer Sale,3386.43,62396,2391,29,19107.09,2200.73,399.24,116.77
2024-12-01,Organic,Holiday Discount,2203.17,99395,2472,79,15881.99,2856.04,491.24,27.89
2025-02-06,Organic,Black Friday,2815.68,4877,4595,82,7605.77,207.18,162.76,34.34
2024-07-16,Google Ads,Summer Sale,337.33,85256,1518,7,1412.59,821.97,75.09,48.19
2025-04-08,Google Ads,Holiday Discount,3496.5,74212,4957,77,2057.7,1305.49,-78.49,45.41
2024-09-04,Google Ads,Black Friday,311.48,32818,4535,83,122.93,3606.73,-1218.47,3.75
2024-08-08,Email,New Product,4094.57,49555,1285,69,137.87,4699.92,-211.42,59.34
2025-02-06,Facebook,Holiday Discount,4133.49,43368,2764,90,18734.79,3130.18,277.52,45.93
2025-02-18,Facebook,Black Friday,1223.53,49180,1758,2,18547.64,2822.05,1185.26,611.76
2025-02-06,Twitter,Summer Sale,1652.13,90666,1195,33,13384.32,2693.06,547.12,50.06
2025-03-10,Twitter,Black Friday,2432.49,99777,1525,48,14560.87,1766.5,425.98,50.68
2024-11-24,Twitter,New Product,3003.48,50421,3973,37,10312.85,4142.02,105.46,81.18
2025-02-06,Facebook,Holiday Discount,1472.4,27620,2971,89,4833.06,2713.02,43.99,16.54
2025-05-28,Email,Holiday Discount,2982.81,61539,1905,89,18296.26,1165.91,474.3,33.51
2025-01-20,Facebook,Holiday Discount,1524.05,18077,3274,30,5626.06,701.42,223.13,50.8
2024-10-22,Google Ads,New Product,324.68,13663,4014,41,14819.46,4927.85,2946.57,7.92
2025-04-06,Google Ads,Summer Sale,62.51,84335,3429,4,4984.17,107.02,7702.19,15.63
2024-06-21,Facebook,Holiday Discount,550.7,48285,4988,83,17415.95,4668.53,2214.77,6.63
2024-10-18,Facebook,Summer Sale,3971.64,52235,1654,91,13059.66,1107.15,200.95,43.64
2024-10-17,Organic,Black Friday,4809.08,18619,3329,39,12889.63,3294.6,99.52,123.31
2025-01-24,Google Ads,Summer Sale,2163.48,70503,601,24,2037.61,1521.63,-76.15,90.14
2025-01-20,Organic,Summer Sale,2587.79,58477,2054,50,8447.43,4301.86,60.2,51.76
2025-04-07,Instagram,Holiday Discount,776.9,28488,1886,37,10545.68,2726.36,906.48,21.0
2024-12-09,Facebook,Brand Awareness,2777.61,79747,1174,53,5951.32,722.47,88.25,52.41
2024-10-24,Instagram,Brand Awareness,766.04,22169,1432,25,17631.39,1363.78,2023.6,30.64
2024-12-21,Facebook,New Product,3075.51,31373,1820,93,16769.63,1615.19,392.75,33.07
2024-11-13,Instagram,New Product,4669.63,33669,3913,31,9923.06,4431.89,17.59,150.63
2024-09-25,Facebook,Brand Awareness,1018.71,56277,3450,99,6866.62,3838.36,197.26,10.29
2024-07-10,Google Ads,Black Friday,3834.59,73170,84,92,16050.69,4151.34,210.32,41.68
2024-11-08,Google Ads,Holiday Discount,166.34,56120,2254,38,4018.14,280.22,2147.16,4.38
2024-11-27,Instagram,Holiday Discount,1908.71,67376,3394,58,1523.17,2902.34,-172.26,32.91
2025-01-27,Twitter,Black Friday,598.21,55235,3064,53,1009.64,4995.9,-766.36,11.29
2024-09-17,Facebook,Black Friday,1794.75,35229,4541,50,869.8,3930.29,-270.52,35.9
2024-08-09,Organic,Brand Awareness,909.01,87854,4352,4,9828.88,621.12,912.94,227.25
2024-08-23,Email,New Product,1897.86,16405,1830,92,5180.74,3400.51,-6.2,20.63
2024-07-09,Twitter,Black Friday,2116.74,16847,1678,52,13838.46,3731.71,377.47,40.71
2025-02-21,Organic,New Product,1537.93,24547,1379,31,13112.44,2580.96,584.78,49.61
2024-11-13,Instagram,Summer Sale,3300.28,7575,1609,87,10886.2,412.19,217.37,37.93
2024-10-02,Email,Holiday Discount,4598.32,96659,854,78,7121.58,192.74,50.68,58.95
2025-01-06,Twitter,Brand Awareness,2032.95,5843,2559,92,17024.08,4690.29,506.69,22.1
2025-02-22,Facebook,Holiday Discount,1002.1,93987,4397,14,14223.08,1302.42,1189.36,71.58
2024-11-10,Facebook,Brand Awareness,1390.08,8739,1340,1,5503.37,1907.26,158.7,1390.08
2025-01-26,Google Ads,Summer Sale,4277.3,15852,4354,43,10083.6,3980.48,42.69,99.47
2024-11-24,Organic,Holiday Discount,2879.62,52661,2636,96,3209.8,3452.52,-108.43,30.0
2024-07-08,Organic,Summer Sale,2302.3,10157,4980,59,6642.65,4843.46,-21.85,39.02
2024-06-15,Google Ads,Brand Awareness,790.7,88942,2600,61,19943.09,482.34,2361.21,12.96
2024-09-13,Instagram,Black Friday,2276.15,73968,1005,41,4554.5,3540.46,-55.45,55.52
2025-01-02,Instagram,Holiday Discount,1428.54,19837,4659,18,13996.22,429.5,849.69,79.36
2024-09-20,Google Ads,Summer Sale,4718.66,81684,629,60,4844.53,20.82,2.23,78.64
2024-06-18,Affiliate,Holiday Discount,4426.15,77730,1987,69,18768.88,618.75,310.07,64.15
2025-01-03,Google Ads,Holiday Discount,465.32,99127,2047,79,6271.64,3091.29,583.48,5.89
2025-01-02,Google Ads,Holiday Discount,2607.43,15819,1715,59,6999.11,3387.44,38.51,44.19
2024-06-12,Instagram,New Product,1164.04,73161,2180,42,11917.81,2202.93,734.58,27.72
2024-11-12,Organic,Summer Sale,2083.35,8404,3790,80,11803.42,249.43,454.59,26.04
2024-07-26,Google Ads,Summer Sale,4390.4,15674,2550,36,11623.62,3177.62,92.37,121.96
2025-01-22,Email,Holiday Discount,2661.2,77043,1692,40,11507.77,447.37,315.62,66.53
2025-04-21,Instagram,Black Friday,1704.37,86923,4762,30,6312.52,725.8,227.79,56.81
2024-06-26,Google Ads,Holiday Discount,1079.05,19697,1547,87,8744.76,2572.63,472.0,12.4
2024-06-04,Google Ads,New Product,4011.61,86083,4652,11,11909.33,1715.06,154.12,364.69
2025-01-21,Instagram,Brand Awareness,3141.36,61663,3254,25,13458.28,2334.47,254.11,125.65
2024-09-05,Facebook,New Product,2366.92,24570,671,45,5137.27,3182.68,-17.42,52.6
2024-12-30,Twitter,Black Friday,1126.55,29037,3194,51,14059.35,816.84,1075.49,22.09
2024-08-05,Organic,Holiday Discount,1704.52,96619,2001,43,18473.2,4467.57,721.68,39.64
2025-02-20,Affiliate,Summer Sale,4801.22,38982,1509,66,15182.76,2806.21,157.78,72.75
2024-09-09,Facebook,Holiday Discount,2624.45,69524,342,99,1776.23,130.02,-37.27,26.51
2024-09-20,Affiliate,Black Friday,2033.46,6156,704,47,9435.61,3149.7,209.12,43.27
2025-01-06,Facebook,Summer Sale,2631.04,39280,3034,24,8761.75,2326.63,144.58,109.63
2024-06-18,Facebook,New Product,3905.99,76324,3893,77,6796.42,3514.16,-15.97,50.73
2025-02-07,Google Ads,Brand Awareness,1733.54,61706,2854,37,9877.27,3924.49,243.39,46.85
2025-03-31,Google Ads,Brand Awareness,934.6,80721,2764,56,8848.71,4695.45,344.39,16.69
2025-05-28,Email,Holiday Discount,2945.43,85270,1671,94,222.79,4991.76,-261.91,31.33
2024-07-30,Instagram,New Product,3342.76,10971,4064,75,4807.45,2757.09,-38.66,44.57
2024-09-18,Google Ads,Black Friday,3577.95,54140,3303,87,4354.26,2816.31,-57.02,41.13
2025-01-10,Email,Brand Awareness,4415.84,44408,2896,46,7050.26,131.78,56.67,96.0
2025-04-23,Facebook,New Product,1887.31,53022,4930,28,3571.69,4328.55,-140.1,67.4
2024-12-21,Instagram,Holiday Discount,423.01,7487,4912,93,1449.25,163.02,204.07,4.55
2025-05-21,Facebook,Summer Sale,4793.83,21997,3555,52,4012.6,3170.67,-82.44,92.19
2024-10-09,Organic,Holiday Discount,2203.31,47456,568,15,17098.32,510.91,652.84,146.89
2025-02-20,Organic,Holiday Discount,3135.12,78988,2735,45,15961.08,1443.48,363.06,69.67
2025-01-03,Instagram,New Product,3348.21,81908,77,58,8897.71,718.84,144.28,57.73
2024-07-30,Facebook,Brand Awareness,2755.24,60416,315,67,17568.52,704.22,512.08,41.12
2024-11-03,Facebook,New Product,1066.02,45767,1356,73,4730.05,391.51,306.98,14.6
2025-01-19,Organic,Summer Sale,3787.96,79970,4103,72,11725.76,1603.05,167.23,52.61
2024-12-29,Facebook,New Product,4028.57,78952,3504,97,2944.21,2129.78,-79.78,41.53
2025-04-06,Google Ads,Black Friday,2787.23,85784,860,98,16684.67,2333.08,414.91,28.44
2025-01-30,Google Ads,Holiday Discount,2468.38,29194,4726,73,2698.57,2209.75,-80.2,33.81
2024-12-20,Instagram,Brand Awareness,613.99,34785,3440,81,734.02,2627.99,-408.47,7.58
2025-02-03,Instagram,Summer Sale,465.56,59676,660,41,5541.54,4301.74,166.3,11.36
